reg	true_label	predicted_label	prob	assignments
12	RegPermissive	Bivalent	-inf	1
12	RegPermissive	Promoter	-inf	4
12	RegPermissive	Unclassified	-115.540543006	1
12	RegPermissive	Quiescent	-inf	1
12	RegPermissive	RegPermissive	-50.4441826889	25
12	RegPermissive	Transcribed	-inf	2
12	RegPermissive	ConstitutiveHet	-inf	0
12	Unclassified	Enhancer	-inf	0
12	Unclassified	FacultativeHet	-inf	6
12	Unclassified	Bivalent	-inf	0
12	Unclassified	Promoter	-inf	0
12	Unclassified	Unclassified	-inf	3
12	Unclassified	Quiescent	-inf	3
12	Unclassified	RegPermissive	-39.0010586828	2
12	Unclassified	Transcribed	-inf	6
12	Unclassified	ConstitutiveHet	-61.0924925477	0
12	Quiescent	Enhancer	-inf	0
12	Quiescent	FacultativeHet	-66.3293080263	4
12	Quiescent	Bivalent	-inf	0
12	Quiescent	Promoter	-inf	0
12	Quiescent	Unclassified	-95.8491220363	0
12	Quiescent	Quiescent	-30.1432264721	26
12	Quiescent	RegPermissive	-inf	0
12	Quiescent	Transcribed	-inf	1
12	Quiescent	ConstitutiveHet	-63.0338276472	2
12	Promoter	Enhancer	-inf	1
12	Promoter	FacultativeHet	-43.7946789074	0
12	Promoter	Bivalent	-31.7147406284	1
12	Promoter	Promoter	-20.9267947814	5
12	Promoter	Unclassified	-inf	0
12	Promoter	Quiescent	-inf	0
12	Promoter	RegPermissive	-19.5279702664	8
12	Promoter	Transcribed	-inf	0
12	Promoter	ConstitutiveHet	-inf	0
12	Transcribed	Enhancer	-inf	0
12	Transcribed	FacultativeHet	-inf	0
12	Transcribed	Bivalent	-inf	0
12	Transcribed	Promoter	-inf	0
12	Transcribed	Unclassified	-82.442965262	0
12	Transcribed	Quiescent	-inf	2
12	Transcribed	RegPermissive	-inf	0
12	Transcribed	Transcribed	-19.2578281342	34
12	Transcribed	ConstitutiveHet	-inf	0
12	ConstitutiveHet	Enhancer	-inf	0
12	ConstitutiveHet	FacultativeHet	-28.88519733	3
12	ConstitutiveHet	Bivalent	-inf	0
12	ConstitutiveHet	Promoter	-inf	0
12	ConstitutiveHet	Unclassified	-45.6469068623	1
12	ConstitutiveHet	Quiescent	-23.5662696528	9
12	ConstitutiveHet	RegPermissive	-inf	2
12	ConstitutiveHet	Transcribed	-inf	1
12	ConstitutiveHet	ConstitutiveHet	-32.5459757643	0
16	Enhancer	Enhancer	-23.4402769648	0
16	Enhancer	FacultativeHet	-35.7639769838	0
16	Enhancer	Bivalent	-inf	0
16	Enhancer	Promoter	-50.1475035636	0
16	Enhancer	Unclassified	-35.7594470636	0
16	Enhancer	Quiescent	-inf	0
16	Enhancer	RegPermissive	-15.3173120327	15
16	Enhancer	Transcribed	-inf	0
16	Enhancer	ConstitutiveHet	-49.1968016674	0
16	Bivalent	Enhancer	-inf	0
16	Bivalent	FacultativeHet	-27.2364401322	1
16	Bivalent	Bivalent	-24.5682924813	2
16	Bivalent	Promoter	-20.2899284854	6
16	Bivalent	Unclassified	-35.8558372893	0
16	Bivalent	Quiescent	-inf	0
16	Bivalent	RegPermissive	-18.4837600373	4
16	Bivalent	Transcribed	-inf	0
16	Bivalent	ConstitutiveHet	-inf	0
16	FacultativeHet	Enhancer	-inf	0
16	FacultativeHet	FacultativeHet	-44.0721917377	16
16	FacultativeHet	Bivalent	-inf	0
16	FacultativeHet	Promoter	-inf	1
16	FacultativeHet	Unclassified	-83.1507536261	0
16	FacultativeHet	Quiescent	-inf	7
16	FacultativeHet	RegPermissive	-inf	8
16	FacultativeHet	Transcribed	-inf	0
16	FacultativeHet	ConstitutiveHet	-87.1045281482	0
16	RegPermissive	Enhancer	-inf	0
16	RegPermissive	FacultativeHet	-92.2760053594	6
16	RegPermissive	Bivalent	-inf	1
16	RegPermissive	Promoter	-inf	5
16	RegPermissive	Unclassified	-111.932729806	0
16	RegPermissive	Quiescent	-inf	0
16	RegPermissive	RegPermissive	-48.7673917269	29
16	RegPermissive	Transcribed	-inf	2
16	RegPermissive	ConstitutiveHet	-inf	0
16	Unclassified	Enhancer	-inf	0
16	Unclassified	FacultativeHet	-inf	4
16	Unclassified	Bivalent	-inf	0
16	Unclassified	Promoter	-inf	0
16	Unclassified	Unclassified	-41.2846128126	2
16	Unclassified	Quiescent	-64.2001151197	3
16	Unclassified	RegPermissive	-39.7398845033	2
16	Unclassified	Transcribed	-36.0851763219	9
16	Unclassified	ConstitutiveHet	-62.7277471385	0
16	Quiescent	Enhancer	-inf	0
16	Quiescent	FacultativeHet	-59.7197927418	3
16	Quiescent	Bivalent	-inf	0
16	Quiescent	Promoter	-inf	0
16	Quiescent	Unclassified	-102.517278397	0
